id,structure_json,formula,spacegroup,bandgap,energy_above_hull,k_1064,k_755,k_1500
mp-546266,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.945744, 0.0, 0.0], [0.0, 3.945744, 0.0], [0.0, 0.0, 9.707467]], ""pbc"": [true, true, true], ""a"": 3.945744, ""b"": 3.945744, ""c"": 9.707467, ""alpha"": 90.0, ""beta"": 90.0, ""gamma"": 90.0, ""volume"": 151.13454136559216}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Dy"", ""occu"": 1}], ""abc"": [0.0, 0.0, 0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""Dy"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Bi"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.256559], ""properties"": {""magmom"": 0.0}, ""label"": ""Bi"", ""xyz"": [1.972872, 1.972872, 2.4905380260529997]}, {""species"": [{""element"": ""Bi"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.743441], ""properties"": {""magmom"": 0.0}, ""label"": ""Bi"", ""xyz"": [1.972872, 1.972872, 7.216928973947]}, {""species"": [{""element"": ""I"", ""occu"": 1}], ""abc"": [0.0, 0.0, 0.5], ""properties"": {""magmom"": 0.0}, ""label"": ""I"", ""xyz"": [0.0, 0.0, 4.8537335]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.5, 0.0, 0.857838999999999], ""properties"": {""magmom"": 0.0}, ""label"": ""O"", ""xyz"": [1.972872, 0.0, 8.32744378381299]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.0, 0.5, 0.857838999999999], ""properties"": {""magmom"": 0.0}, ""label"": ""O"", ""xyz"": [0.0, 1.972872, 8.32744378381299]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.5, 0.0, 0.142160999999999], ""properties"": {""magmom"": 0.0}, ""label"": ""O"", ""xyz"": [1.972872, 0.0, 1.3800232161869903]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.0, 0.5, 0.142160999999999], ""properties"": {""magmom"": 0.0}, ""label"": ""O"", ""xyz"": [0.0, 1.972872, 1.3800232161869903]}]}",DyBi2IO4,123,1.3818,0.0,0.0162833130380954,0.0429043541874937,0.0099921889586937
mp-9583,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.87855986, 0.0, -1.1469436], [-0.33916743, 3.86370258, -1.1469436], [-0.00357393, -0.00390187, 7.11934679]], ""pbc"": [true, true, true], ""a"": 4.044589745472856, ""b"": 4.044590435860276, ""c"": 7.11934875630127, ""alpha"": 106.5024353744425, ""beta"": 106.50243452995848, ""gamma"": 90.00000545766596, ""volume"": 106.65298266178148}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""K"", ""occu"": 1}], ""abc"": [0.35478815, 0.35478815, 0.7095753], ""properties"": {""magmom"": -0.0}, ""label"": ""K"", ""xyz"": [1.2531985199117757, 1.368027219932616, 4.237868638321607]}, {""species"": [{""element"": ""K"", ""occu"": 1}], ""abc"": [0.64521185, 0.64521185, 0.2904247], ""properties"": {""magmom"": -0.0}, ""label"": ""K"", ""xyz"": [2.2826199800882248, 2.4917734900673842, 0.5875909516783928]}, {""species"": [{""element"": ""Zn"", ""occu"": 1}], ""abc"": [-0.0, -0.0, -0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""Zn"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""F"", ""occu"": 1}], ""abc"": [0.5, -0.0, -0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""F"", ""xyz"": [1.93927993, 0.0, -0.5734718]}, {""species"": [{""element"": ""F"", ""occu"": 1}], ""abc"": [-0.0, 0.5, -0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""F"", ""xyz"": [-0.169583715, 1.93185129, -0.5734718]}, {""species"": [{""element"": ""F"", ""occu"": 1}], ""abc"": [0.8446341900000001, 0.8446341900000001, 0.68926738], ""properties"": {""magmom"": -0.0}, ""label"": ""F"", ""xyz"": [2.987028464837779, 3.26072586734721, 2.9696379521313423]}, {""species"": [{""element"": ""F"", ""occu"": 1}], ""abc"": [0.15536581, 0.15536581, 0.31073262], ""properties"": {""magmom"": -0.0}, ""label"": ""F"", ""xyz"": [0.5487900351622217, 0.5990748426527903, 1.855821637868658]}]}",K2ZnF4,139,4.3866,0.0,0.0007615129197345,0.0010942186701996,0.0005382843603689
mp-22988,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.87737825, -3.84681592, 0.01413623], [3.87737825, 3.84681592, 0.01413623], [0.04102084, 0.0, 5.46173703]], ""pbc"": [true, true, true], ""a"": 5.461891123863339, ""b"": 5.461891123863339, ""c"": 5.461891073079682, ""alpha"": 89.54623144876582, ""beta"": 89.54623144876582, ""gamma"": 89.54621700859916, ""volume"": 162.92527551742106}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Cs"", ""occu"": 1}], ""abc"": [0.99840335, 0.99840335, 0.99840335], ""properties"": {""magmom"": -0.0}, ""label"": ""Cs"", ""xyz"": [7.78333021211009, 0.0, 5.481243866347792]}, {""species"": [{""element"": ""Ge"", ""occu"": 1}], ""abc"": [0.51553315, 0.51553315, 0.51553315], ""properties"": {""magmom"": 0.0}, ""label"": ""Ge"", ""xyz"": [4.018981648788821, 0.0, 2.8302818859095935]}, {""species"": [{""element"": ""Cl"", ""occu"": 1}], ""abc"": [0.9486381700000001, 0.49671267, 0.49671267], ""properties"": {""magmom"": -0.0}, ""label"": ""Cl"", ""xyz"": [5.624547481597273, -1.7384742080539604, 2.733345794914104]}, {""species"": [{""element"": ""Cl"", ""occu"": 1}], ""abc"": [0.49671267, 0.49671267, 0.9486381700000001], ""properties"": {""magmom"": -0.0}, ""label"": ""Cl"", ""xyz"": [3.890799740904318, 0.0, 5.195255510254503]}, {""species"": [{""element"": ""Cl"", ""occu"": 1}], ""abc"": [0.49671267, 0.9486381700000001, 0.49671267], ""properties"": {""magmom"": -0.0}, ""label"": ""Cl"", ""xyz"": [5.624547481597273, 1.7384742080539604, 2.733345794914104]}]}",CsGeCl3,160,2.178,0.0,0.0085544855975864,0.01697474356401,0.0055312476103202
mp-1025029,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[-2.0265362, -3.51006494, 0.0], [-2.0265362, 3.51006494, 0.0], [0.0, 0.0, -8.04043046]], ""pbc"": [true, true, true], ""a"": 4.053073506973152, ""b"": 4.053073506973152, ""c"": 8.04043046, ""alpha"": 90.0, ""beta"": 90.0, ""gamma"": 120.00001806943565, ""volume"": 114.38756449695799}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Pr"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.75], ""properties"": {""magmom"": -0.0}, ""label"": ""Pr"", ""xyz"": [-2.0265362, -1.17002398670996, -6.030322845]}, {""species"": [{""element"": ""Pr"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.25], ""properties"": {""magmom"": -0.0}, ""label"": ""Pr"", ""xyz"": [-2.0265362, 1.17002398670996, -2.010107615]}, {""species"": [{""element"": ""H"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.25], ""properties"": {""magmom"": 0.0}, ""label"": ""H"", ""xyz"": [-2.0265362, -1.17002398670996, -2.010107615]}, {""species"": [{""element"": ""H"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.75], ""properties"": {""magmom"": 0.0}, ""label"": ""H"", ""xyz"": [-2.0265362, 1.17002398670996, -6.030322845]}, {""species"": [{""element"": ""Se"", ""occu"": 1}], ""abc"": [0.0, 0.0, 0.0], ""properties"": {""magmom"": 0.0}, ""label"": ""Se"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Se"", ""occu"": 1}], ""abc"": [0.0, 0.0, 0.5], ""properties"": {""magmom"": 0.0}, ""label"": ""Se"", ""xyz"": [0.0, 0.0, -4.02021523]}]}",PrHSe,194,1.9456,0.0,0.0177154368454894,0.0349837755313278,0.0114525753110247
mp-22867,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[4.2326573, -1e-08, 2.44372603], [1.41088441, 3.99058775, 2.44372603], [0.0, -0.0, 4.88745206]], ""pbc"": [true, true, true], ""a"": 4.887451762313654, ""b"": 4.887451515721733, ""c"": 4.88745206, ""alpha"": 59.999996316161834, ""beta"": 59.99999798516986, ""gamma"": 60.00001300255141, ""volume"": 82.55292826433187}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Rb"", ""occu"": 1}], ""abc"": [0.0, -0.0, -0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""Rb"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Br"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": -0.0}, ""label"": ""Br"", ""xyz"": [2.8217708549999996, 1.99529387, 4.88745206]}]}",RbBr,225,4.1973,0.0,0.001873290121475,0.0027913921281696,0.0013032692699576
mp-1217120,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[6.908589, -2.104536, 0.0], [6.908589, 2.104536, 0.0], [6.267493, 0.0, 3.588344]], ""pbc"": [true, true, true], ""a"": 7.222026983210254, ""b"": 7.222026983210254, ""c"": 7.222027496997294, ""alpha"": 33.88420062069408, ""beta"": 33.88420062069408, ""gamma"": 33.88420046572725, ""volume"": 104.34455277712658}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Ti"", ""occu"": 1}], ""abc"": [0.371998, 0.371998, 0.371998], ""properties"": {""magmom"": -0.0}, ""label"": ""Ti"", ""xyz"": [7.471457442658, 0.0, 1.334856791312]}, {""species"": [{""element"": ""Ti"", ""occu"": 1}], ""abc"": [0.878876999999999, 0.878876999999999, 0.878876999999999], ""properties"": {""magmom"": -0.0}, ""label"": ""Ti"", ""xyz"": [17.65195539446698, 0.0, 3.153713009687997]}, {""species"": [{""element"": ""Fe"", ""occu"": 1}], ""abc"": [0.997313999999999, 0.997313999999999, 0.997313999999999], ""properties"": {""magmom"": 0.0}, ""label"": ""Fe"", ""xyz"": [20.030723573693983, 0.0, 3.5787057080159967]}, {""species"": [{""element"": ""Ni"", ""occu"": 1}], ""abc"": [0.50107, 0.50107, 0.50107], ""properties"": {""magmom"": 0.0}, ""label"": ""Ni"", ""xyz"": [10.06382609797, 0.0, 1.7980115280800002]}, {""species"": [{""element"": ""Sb"", ""occu"": 1}], ""abc"": [0.123351999999999, 0.123351999999999, 0.123351999999999], ""properties"": {""magmom"": 0.0}, ""label"": ""Sb"", ""xyz"": [2.47748433719198, 0.0, 0.4426294090879965]}, {""species"": [{""element"": ""Sb"", ""occu"": 1}], ""abc"": [0.627389, 0.627389, 0.627389], ""properties"": {""magmom"": 0.0}, ""label"": ""Sb"", ""xyz"": [12.600901654019, 0.0, 2.251287553816]}]}",Ti2FeNiSb2,160,0.966899999999999,0.0,0.5186856013587203,2.389942619991633,0.1367967678096794
mp-3924,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[2.921784869999999, 0.0, -0.0], [-1.46089193, 2.53033991, 0.0], [0.0, -0.0, 10.45103486]], ""pbc"": [true, true, true], ""a"": 2.921784869999999, ""b"": 2.921784607269662, ""c"": 10.45103486, ""alpha"": 90.0, ""beta"": 90.0, ""gamma"": 119.99999153959526, ""volume"": 77.26563847183944}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Li"", ""occu"": 1}], ""abc"": [0.0, -0.0, 0.0], ""properties"": {""magmom"": 0.0}, ""label"": ""Li"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Li"", ""occu"": 1}], ""abc"": [0.0, -0.0, 0.5], ""properties"": {""magmom"": 0.0}, ""label"": ""Li"", ""xyz"": [0.0, 0.0, 5.22551743]}, {""species"": [{""element"": ""Nb"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.75], ""properties"": {""magmom"": -0.0}, ""label"": ""Nb"", ""xyz"": [-1.1242256005017381e-06, 1.68689411677997, 7.838276145]}, {""species"": [{""element"": ""Nb"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.25], ""properties"": {""magmom"": -0.0}, ""label"": ""Nb"", ""xyz"": [1.4608940642255992, 0.84344579322003, 2.612758715]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.12182659], ""properties"": {""magmom"": 0.0}, ""label"": ""O"", ""xyz"": [-1.1242256005017381e-06, 1.68689411677997, 1.2732139389649273]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.37817341], ""properties"": {""magmom"": 0.0}, ""label"": ""O"", ""xyz"": [-1.1242256005017381e-06, 1.68689411677997, 3.9523034910350723]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.6218265900000001], ""properties"": {""magmom"": 0.0}, ""label"": ""O"", ""xyz"": [1.4608940642255992, 0.84344579322003, 6.498731368964928]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.87817341], ""properties"": {""magmom"": 0.0}, ""label"": ""O"", ""xyz"": [1.4608940642255992, 0.84344579322003, 9.177820921035073]}]}",LiNbO2,194,1.5747,0.0,0.044224396488531,0.2164121352004816,0.022916520259071
mp-8181,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.57350791, -0.0, 0.0], [-1.78675396, 3.09474827, 0.0], [0.0, 0.0, 5.43007881]], ""pbc"": [true, true, true], ""a"": 3.57350791, ""b"": 3.573507600137948, ""c"": 5.43007881, ""alpha"": 90.0, ""beta"": 90.0, ""gamma"": 120.00000296094282, ""volume"": 60.051824871365675}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Li"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.39485366], ""properties"": {""magmom"": 0.0}, ""label"": ""Li"", ""xyz"": [1.7867557400872902, 1.03158172508391, 2.1440864922169447]}, {""species"": [{""element"": ""Li"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.60514634], ""properties"": {""magmom"": 0.0}, ""label"": ""Li"", ""xyz"": [-1.7900872899545561e-06, 2.0631665449160903, 3.2859923177830557]}, {""species"": [{""element"": ""Ce"", ""occu"": 1}], ""abc"": [-0.0, -0.0, 0.0], ""properties"": {""magmom"": 0.0}, ""label"": ""Ce"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""N"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.77233664], ""properties"": {""magmom"": -0.0}, ""label"": ""N"", ""xyz"": [1.7867557400872902, 1.03158172508391, 4.193848823050598]}, {""species"": [{""element"": ""N"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.22766336], ""properties"": {""magmom"": -0.0}, ""label"": ""N"", ""xyz"": [-1.7900872899545561e-06, 2.0631665449160903, 1.2362299869494018]}]}",Li2CeN2,164,1.1900000000000004,0.0,0.0658383398179583,0.4174274285201982,0.0320551416351188
mp-13313,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.82366281, -0.01440131, 7.05734801], [1.7777890200000002, 3.38527305, 7.057348], [-0.02392927, -0.01440131, 8.02657951]], ""pbc"": [true, true, true], ""a"": 8.026628533609722, ""b"": 8.026628695522975, ""c"": 8.02662809889958, ""alpha"": 28.61955686762443, ""beta"": 28.619548105851784, ""gamma"": 28.61955704908696, ""volume"": 104.88475063809506}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Sc"", ""occu"": 1}], ""abc"": [-0.0, -0.0, 0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""Sc"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Tl"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": 0.0}, ""label"": ""Tl"", ""xyz"": [2.78876128, 1.678235215, 11.07063776]}, {""species"": [{""element"": ""Se"", ""occu"": 1}], ""abc"": [0.73153246, 0.73153246, 0.73153246], ""properties"": {""magmom"": 0.0}, ""label"": ""Se"", ""xyz"": [4.080138799022298, 2.4553670705751576, 16.197061748683378]}, {""species"": [{""element"": ""Se"", ""occu"": 1}], ""abc"": [0.26846754, 0.26846754, 0.26846754], ""properties"": {""magmom"": 0.0}, ""label"": ""Se"", ""xyz"": [1.4973837609777023, 0.9011033594248423, 5.944213771316621]}]}",ScTlSe2,166,0.6985999999999999,0.0,0.0421861310474939,0.1197954194367118,0.0248654415460197
mp-754326,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.16737726, 1.4935345500000001, -0.27376653], [-3.16737726, 1.4935345500000001, 0.27376653], [-2.8326541, 0.0, 5.66727894]], ""pbc"": [true, true, true], ""a"": 3.5125307503503866, ""b"": 3.5125307503503866, ""c"": 6.335769869085708, ""alpha"": 61.77904162680209, ""beta"": 118.22095837319794, ""gamma"": 129.67311978413235, ""volume"": 51.30268643900296}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Na"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": 0.0}, ""label"": ""Na"", ""xyz"": [-1.41632705, 1.4935345500000001, 2.83363947]}, {""species"": [{""element"": ""Ag"", ""occu"": 1}], ""abc"": [0.0, -0.0, 0.0], ""properties"": {""magmom"": 0.0}, ""label"": ""Ag"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.32847169, 0.67152831, 0.7559058200000001], ""properties"": {""magmom"": -0.0}, ""label"": ""O"", ""xyz"": [-3.2278094573173233, 1.4935345500000001, 4.377846554760359]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.67152831, 0.32847169, 0.24409418], ""properties"": {""magmom"": -0.0}, ""label"": ""O"", ""xyz"": [0.3951553573173231, 1.4935345500000001, 1.2894323852396405]}]}",NaAgO2,12,0.6103000000000001,0.0,0.139863559539717,0.4184613333202716,0.0378214861772083
